,user_id,intime,outtime,aeneas,tocloud,getobject,rawaeneas,TPT,FET,Queue time,scenario
0,2,2023-03-29 07:24:44.115885,2023-03-29 07:24:59.254,27.3,0.044,0.097,0.009,15.138115,27.450000000000003,-12.311885000000002,no+rps
1,2,2023-03-29 07:24:44.119899,2023-03-29 07:24:59.254,37.8,0.038,0.109,0.017,15.134101,37.964,-22.829898999999997,no+rps
2,13,2023-03-29 07:24:50.142107,2023-03-29 07:24:59.035,38.3,0.166,1.514,0.010,8.892893,39.989999999999995,-31.097106999999994,no+rps
3,14,2023-03-29 07:24:50.143664,2023-03-29 07:25:11.565,26.6,0.188,0.049,0.010,21.421336,26.847,-5.425664000000001,no+rps
4,15,2023-03-29 07:24:51.147073,2023-03-29 07:25:12.836,26.6,0.037,0.095,0.010,21.688927,26.742,-5.053073000000001,no+rps
5,16,2023-03-29 07:24:51.148606,2023-03-29 07:25:12.735,37.9,0.041,0.044,0.015,21.586394,37.99999999999999,-16.413605999999994,no+rps
6,17,2023-03-29 07:24:52.151906,2023-03-29 07:25:24.966,26.7,0.043,0.078,0.008,32.814094,26.828999999999997,5.985094,no+rps
7,18,2023-03-29 07:24:52.153581,2023-03-29 07:25:12.348,26.7,0.045,0.156,0.008,20.194419,26.909,-6.714580999999999,no+rps
8,19,2023-03-29 07:24:53.157316,2023-03-29 07:25:24.670,26.8,0.040,0.069,0.010,31.512684,26.919,4.593684,no+rps
9,20,2023-03-29 07:24:53.158892,2023-03-29 07:25:25.257,26.9,0.040,1.171,0.013,32.098108,28.124,3.9741080000000046,no+rps
10,21,2023-03-29 07:24:54.161903,2023-03-29 07:25:38.506,40.0,0.045,0.086,0.013,44.344097,40.144,4.2000969999999995,no+rps
11,22,2023-03-29 07:24:54.163409,2023-03-29 07:25:25.364,39.5,0.041,0.146,0.007,31.200591,39.693999999999996,-8.493408999999996,no+rps
12,23,2023-03-29 07:24:55.166935,2023-03-29 07:25:38.945,26.8,0.037,0.082,0.011,43.778065,26.93,16.848065,no+rps
13,25,2023-03-29 07:24:56.171749,2023-03-29 07:25:38.403,39.0,0.075,0.143,0.009,42.231251,39.227000000000004,3.0042509999999965,no+rps
14,57,2023-03-29 07:25:12.248718,2023-03-29 07:25:38.678,38.7,0.038,0.151,0.014,26.429282,38.903000000000006,-12.473718000000005,no+rps
15,59,2023-03-29 07:25:13.254151,2023-03-29 07:25:51.154,26.9,0.046,0.079,0.044,37.899849,27.069,10.830849000000004,no+rps
16,60,2023-03-29 07:25:13.255662,2023-03-29 07:25:51.689,28.2,0.050,0.082,0.012,38.433338,28.344,10.089337999999998,no+rps
17,83,2023-03-29 07:25:25.315593,2023-03-29 07:25:52.055,4.51,0.053,0.219,0.008,26.739407,4.79,21.949407,no+rps
18,84,2023-03-29 07:25:25.317103,2023-03-29 07:25:52.122,3.18,0.088,0.274,0.010,26.804897,3.552,23.252897,no+rps
19,85,2023-03-29 07:25:26.320411,2023-03-29 07:26:04.394,5.13,0.044,0.067,0.012,38.073589,5.252999999999999,32.820589,no+rps
20,86,2023-03-29 07:25:26.322024,2023-03-29 07:26:05.185,5.77,0.038,0.134,0.009,38.862976,5.9510000000000005,32.911976,no+rps
21,87,2023-03-29 07:25:27.325254,2023-03-29 07:26:05.244,5.23,0.043,0.194,0.011,37.918746,5.478000000000001,32.440746,no+rps
22,92,2023-03-29 07:25:29.336677,2023-03-29 07:26:05.356,7.83,0.043,0.084,0.009,36.019323,7.966,28.053323,no+rps
23,108,2023-03-29 07:25:37.375861,2023-03-29 07:26:18.746,7.08,0.038,0.487,0.006,41.370139,7.611000000000001,33.759139000000005,no+rps
24,111,2023-03-29 07:25:39.384937,2023-03-29 07:26:19.027,26.3,0.045,0.083,0.015,39.642063,26.443,13.199062999999999,no+rps
25,135,2023-03-29 07:25:51.445649,2023-03-29 07:26:18.550,39.4,0.045,0.113,0.009,27.104351,39.567,-12.462648999999999,no+rps
26,137,2023-03-29 07:25:52.450501,2023-03-29 07:26:19.356,26.7,0.041,0.134,0.011,26.905499,26.886,0.01949899999999971,no+rps
27,138,2023-03-29 07:25:52.452111,2023-03-29 07:26:31.589,39.3,0.043,0.128,0.018,39.136889,39.489,-0.35211100000000073,no+rps
28,139,2023-03-29 07:25:53.455847,2023-03-29 07:26:32.349,10.4,0.042,0.236,0.009,38.893153,10.687000000000001,28.206152999999997,no+rps
29,141,2023-03-29 07:25:54.461306,2023-03-29 07:26:32.686,7.35,0.050,0.058,0.026,38.224694,7.483999999999999,30.740694,no+rps
30,163,2023-03-29 07:26:05.517058,2023-03-29 07:26:32.583,7.93,0.040,0.165,0.008,27.065942,8.142999999999999,18.922942,no+rps
31,164,2023-03-29 07:26:05.518617,2023-03-29 07:26:45.082,14.9,0.070,0.041,0.006,39.563383,15.017000000000001,24.546383,no+rps
32,167,2023-03-29 07:26:07.526601,2023-03-29 07:26:44.968,14.6,0.043,0.116,0.013,37.441399,14.771999999999998,22.669399,no+rps
33,178,2023-03-29 07:26:12.553801,2023-03-29 07:26:45.530,16.1,0.051,0.079,0.013,32.976199,16.243000000000002,16.733199,no+rps
34,191,2023-03-29 07:26:19.588861,2023-03-29 07:27:07.144,15.0,0.044,0.205,0.010,47.555139,15.259,32.296139,no+rps
35,192,2023-03-29 07:26:19.590468,2023-03-29 07:27:07.205,17.0,0.043,0.070,0.027,47.614532,17.14,30.474531999999996,no+rps
36,211,2023-03-29 07:26:29.639248,2023-03-29 07:26:34.292,27.2,0.038,0.381,0.007,4.652752,27.626,-22.973248,no+rps
37,213,2023-03-29 07:26:30.644072,2023-03-29 07:26:35.878,39.3,0.046,0.045,0.008,5.233928,39.399,-34.165072,no+rps
38,215,2023-03-29 07:26:31.648917,2023-03-29 07:26:34.956,39.4,0.042,0.209,0.009,3.307083,39.660000000000004,-36.352917000000005,no+rps
39,216,2023-03-29 07:26:31.650501,2023-03-29 07:27:07.069,24.4,0.045,0.108,0.016,35.418499,24.569,10.849498999999998,no+rps
40,220,2023-03-29 07:26:33.661819,2023-03-29 07:26:39.597,14.8,0.038,0.075,0.010,5.935181,14.923,-8.987819,no+rps
41,222,2023-03-29 07:26:34.667328,2023-03-29 07:27:07.269,12.9,0.038,0.171,0.010,32.601672,13.119,19.482672,no+rps
42,223,2023-03-29 07:26:35.670893,2023-03-29 07:26:43.605,13.2,0.043,0.109,0.015,7.934107,13.366999999999999,-5.432892999999999,no+rps
43,224,2023-03-29 07:26:35.672450,2023-03-29 07:26:41.083,13.7,1.566,0.157,0.024,5.41055,15.447,-10.036449999999999,no+rps
44,225,2023-03-29 07:26:36.675827,2023-03-29 07:26:43.884,12.0,0.071,0.084,0.016,7.208173,12.171,-4.962826999999999,no+rps
45,226,2023-03-29 07:26:36.677352,2023-03-29 07:27:04.591,13.1,0.070,0.226,0.009,27.913648,13.405000000000001,14.508647999999997,no+rps
46,227,2023-03-29 07:26:37.680755,2023-03-29 07:27:19.781,12.1,0.219,0.169,0.010,42.100245,12.498,29.602245000000003,no+rps
47,228,2023-03-29 07:26:37.682418,2023-03-29 07:27:06.471,9.47,0.040,0.088,0.011,28.788582,9.608999999999998,19.179582000000003,no+rps
48,229,2023-03-29 07:26:38.686326,2023-03-29 07:27:06.841,22.5,0.074,0.299,0.017,28.154674,22.89,5.264673999999999,no+rps
49,230,2023-03-29 07:26:38.687838,2023-03-29 07:27:18.986,25.1,0.057,0.150,0.013,40.298162,25.32,14.978161999999998,no+rps
50,231,2023-03-29 07:26:39.691734,2023-03-29 07:27:06.751,39.3,0.038,0.135,0.020,27.059266,39.492999999999995,-12.433733999999994,no+rps
